loan_id,boarding_date,charge_off_date,net_call_off,original_amount_financed
1,12/11/2015,,,122072
2,12/11/2015,,,60289
3,12/11/2015,,,33935
4,12/11/2015,,,69238
5,12/11/2015,,,145656
6,12/11/2015,,,127797
7,12/11/2015,,,33264
8,12/11/2015,,,7530
9,12/11/2015,,,139222
10,12/11/2015,,,104448
11,12/11/2015,,,74145
12,12/11/2015,,,83728
13,12/11/2015,,,123384
14,12/11/2015,,,56239
15,12/11/2015,,,52745
16,12/11/2015,,,138916
17,12/11/2015,,,83642
18,12/11/2015,,,148007
19,12/11/2015,,,91788
20,12/11/2015,,,110898
21,12/11/2015,,,99199
22,12/11/2015,,,90235
23,12/11/2015,,,46628
24,12/11/2015,,,145079
25,12/11/2015,,,84430
26,12/11/2015,,,114398
27,12/11/2015,,,49280
28,12/11/2015,,,33641
29,12/11/2015,,,145968
30,12/11/2015,,,134806
31,12/11/2015,,,104940
32,12/11/2015,,,146246
33,12/11/2015,,,39587
34,12/11/2015,,,92574
35,12/11/2015,,,93241
36,1/6/2016,,,85027
37,1/6/2016,,,149036
38,1/6/2016,,,96677
39,1/6/2016,,,52614
40,1/6/2016,,,109273
41,1/12/2016,,,5084
42,1/12/2016,,,29297
43,1/12/2016,,,18356
44,1/12/2016,,,146195
45,1/13/2016,,,88062
46,1/13/2016,,,30725
47,1/20/2016,,,36100
48,2/1/2016,,,65793
49,2/9/2016,,,113694
50,2/9/2016,,,50595
51,2/10/2016,,,38905
52,2/12/2016,9/11/2024,40336,118506
53,2/22/2016,,,59618
54,2/25/2016,,,133709
55,2/29/2016,,,136320
56,3/2/2016,,,61487
57,3/4/2016,,,118435
58,3/4/2016,,,103841
59,3/4/2016,,,32666
60,3/8/2016,,,6166
61,3/10/2016,,,137595
62,3/14/2016,,,128662
63,3/14/2016,,,34563
64,3/14/2016,,,79284
65,3/15/2016,,,47272
66,3/15/2016,,,90359
67,3/17/2016,1/31/2021,21638,55052
68,3/18/2016,4/30/2018,,30378
69,3/18/2016,,,134307
70,3/18/2016,,,132354
71,3/18/2016,,,74371
72,3/21/2016,,,119789
73,3/22/2016,1/23/2021,46940,128231
74,3/23/2016,,,74929
75,3/24/2016,,,22826
76,3/25/2016,,,79329
77,3/29/2016,,,104183
78,3/29/2016,,,114926
79,3/29/2016,,,18562
80,3/30/2016,,,60486
81,3/30/2016,,,70981
82,4/6/2016,,,132597
83,4/6/2016,,,135099
84,4/7/2016,,,40607
85,4/8/2016,,,46102
86,4/8/2016,,,77807
87,4/11/2016,,,61624
88,4/14/2016,,,135142
89,4/18/2016,6/26/2016,71128,86628
90,4/18/2016,,,26275
91,4/18/2016,,,33958
92,4/21/2016,,,145148
93,4/22/2016,5/28/2018,36598,51584
94,4/22/2016,,,97971
95,4/22/2016,,,142786
96,4/22/2016,,,142902
97,4/22/2016,,,65799
98,4/26/2016,,,111443
99,4/27/2016,,,21385
100,4/28/2016,2/28/2018,,54898
101,5/2/2016,,,7999
102,5/2/2016,,,6657
103,5/4/2016,,,137575
104,5/5/2016,,,132478
105,5/5/2016,,,100293
106,5/6/2016,,,47399
107,5/9/2016,,,124305
108,5/10/2016,,,121954
109,5/11/2016,,,58463
110,5/11/2016,,,127274
111,5/13/2016,,,102295
112,5/13/2016,,,123453
113,5/18/2016,,,13771
114,5/18/2016,,,84211
115,5/20/2016,,,10836
116,5/20/2016,,,74619
117,5/27/2016,,,119353
118,5/27/2016,,,12166
119,5/31/2016,,,143320
120,6/1/2016,9/18/2021,27182,51284
121,6/1/2016,,,42297
122,6/1/2016,,,140291
123,6/2/2016,,,77562
124,6/3/2016,,,85192
125,6/3/2016,,,52290
126,6/3/2016,,,89911
127,6/3/2016,,,25483
128,6/3/2016,,,91172
129,6/10/2016,,,111221
130,6/17/2016,7/27/2023,11372,16280
131,6/17/2016,,,117245
132,6/17/2016,,,86366
133,6/17/2016,,,63297
134,6/20/2016,,,84979
135,6/20/2016,,,38731
136,6/21/2016,,,87693
137,6/21/2016,,,65731
138,6/21/2016,,,86085
139,6/24/2016,,,133857
140,6/24/2016,,,141202
141,6/30/2016,,,72453
142,6/30/2016,,,96733
143,6/30/2016,,,40768
144,6/30/2016,,,111084
145,6/30/2016,,,144990
