loan_id,boarding_date,charge_off_date,net_call_off,original_amount_financed
1,12/11/2015,,,122072.00
2,12/11/2015,,,60289.00
3,12/11/2015,,,33935.00
4,12/11/2015,,,69238.00
5,12/11/2015,,,145656.00
6,12/11/2015,,,127797.00
7,12/11/2015,,,33264.00
8,12/11/2015,,,7530.00
9,12/11/2015,,,139222.00
10,12/11/2015,,,104448.00
11,12/11/2015,,,74145.00
12,12/11/2015,,,83728.00
13,12/11/2015,,,123384.00
14,12/11/2015,,,56239.00
15,12/11/2015,,,52745.00
16,12/11/2015,,,138916.00
17,12/11/2015,,,83642.00
18,12/11/2015,,,148007.00
19,12/11/2015,,,91788.00
20,12/11/2015,,,110898.00
21,12/11/2015,,,99199.00
22,12/11/2015,,,90235.00
23,12/11/2015,,,46628.00
24,12/11/2015,,,145079.00
25,12/11/2015,,,84430.00
26,12/11/2015,,,114398.00
27,12/11/2015,,,49280.00
28,12/11/2015,,,33641.00
29,12/11/2015,,,145968.00
30,12/11/2015,,,134806.00
31,12/11/2015,,,104940.00
32,12/11/2015,,,146246.00
33,12/11/2015,,,39587.00
34,12/11/2015,,,92574.00
35,12/11/2015,,,93241.00
36,1/6/2016,,,85027.00
37,1/6/2016,,,149036.00
38,1/6/2016,,,96677.00
39,1/6/2016,,,52614.00
40,1/6/2016,,,109273.00
41,1/12/2016,,,5084.00
42,1/12/2016,,,29297.00
43,1/12/2016,,,18356.00
44,1/12/2016,,,146195.00
45,1/13/2016,,,88062.00
46,1/13/2016,,,30725.00
47,1/20/2016,,,36100.00
48,2/1/2016,,,65793.00
49,2/9/2016,,,113694.00
50,2/9/2016,,,50595.00
51,2/10/2016,,,38905.00
52,2/12/2016,9/11/2024,40336.00,118506.00
53,2/22/2016,,,59618.00
54,2/25/2016,,,133709.00
55,2/29/2016,,,136320.00
56,3/2/2016,,,61487.00
57,3/4/2016,,,118435.00
58,3/4/2016,,,103841.00
59,3/4/2016,,,32666.00
60,3/8/2016,,,6166.00
61,3/10/2016,,,137595.00
62,3/14/2016,,,128662.00
63,3/14/2016,,,34563.00
64,3/14/2016,,,79284.00
65,3/15/2016,,,47272.00
66,3/15/2016,,,90359.00
67,3/17/2016,1/31/2021,21638.00,55052.00
68,3/18/2016,4/30/2018,,30378.00
69,3/18/2016,,,134307.00
70,3/18/2016,,,132354.00
71,3/18/2016,,,74371.00
72,3/21/2016,,,119789.00
73,3/22/2016,1/23/2021,46940.00,128231.00
74,3/23/2016,,,74929.00
75,3/24/2016,,,22826.00
76,3/25/2016,,,79329.00
77,3/29/2016,,,104183.00
78,3/29/2016,,,114926.00
79,3/29/2016,,,18562.00
80,3/30/2016,,,60486.00
81,3/30/2016,,,70981.00
82,4/6/2016,,,132597.00
83,4/6/2016,,,135099.00
84,4/7/2016,,,40607.00
85,4/8/2016,,,46102.00
86,4/8/2016,,,77807.00
87,4/11/2016,,,61624.00
88,4/14/2016,,,135142.00
88,7/18/2016,6/26/2016,-71128.00,-86628.00
90,4/18/2016,,,26275.00
91,4/18/2016,,,33958.00
92,4/21/2016,,,145148.00
93,4/22/2016,5/28/2018,36598.00,51584.00
94,4/22/2016,,,97971.00
95,4/22/2016,,,142786.00
96,4/22/2016,,,142902.00
97,4/22/2016,,,65799.00
98,4/26/2016,,,111443.00
99,4/27/2016,,,21385.00
100,4/28/2016,2/28/2018,,54898.00
101,5/2/2016,,,7999.00
102,5/2/2016,,,6657.00
103,5/4/2016,,,137575.00
104,5/5/2016,,,132478.00
105,5/5/2016,,,100293.00
106,5/6/2016,,,47399.00
107,5/9/2016,,,124305.00
108,5/10/2016,,,121954.00
109,5/11/2016,,,58463.00
110,5/11/2016,,,127274.00
111,5/13/2016,,,102295.00
112,5/13/2016,,,123453.00
113,5/18/2016,,,13771.00
114,5/18/2016,,,84211.00
115,5/20/2016,,,10836.00
116,5/20/2016,,,74619.00
117,5/27/2016,,,119353.00
118,5/27/2016,,,12166.00
119,5/31/2016,,,143320.00
120,6/1/2016,9/18/2021,27182.00,51284.00
121,6/1/2016,,,42297.00
122,6/1/2016,,,140291.00
123,6/2/2016,,,77562.00
124,6/3/2016,,,85192.00
125,6/3/2016,,,52290.00
126,6/3/2016,,,89911.00
127,6/3/2016,,,25483.00
128,6/3/2016,,,91172.00
129,6/10/2016,,,111221.00
130,6/17/2016,7/27/2023,11372.00,16280.00
131,6/17/2016,,,117245.00
132,6/17/2016,,,86366.00
133,6/17/2016,,,63297.00
134,6/20/2016,,,84979.00
135,6/20/2016,,,38731.00
136,6/21/2016,,,87693.00
137,6/21/2016,,,65731.00
138,6/21/2016,,,86085.00
139,6/24/2016,,,133857.00
140,6/24/2016,,,141202.00
141,6/30/2016,,,72453.00
142,6/30/2016,,,96733.00
143,6/30/2016,,,40768.00
144,6/30/2016,,,111084.00
145,6/30/2016,,,144990.00
146,7/1/2016,,,108387.00
147,7/1/2016,,,81649.00
148,7/6/2016,,,99267.00
149,7/8/2016,,,116148.00
150,7/12/2016,,,76039.00
151,7/12/2016,,,27486.00
152,7/15/2016,,,138267.00
153,7/21/2016,,,85392.00
154,7/22/2016,,,89678.00
155,7/22/2016,,,99384.00
156,7/25/2016,,,32948.00
157,7/25/2016,,,17155.00
158,7/26/2016,8/31/2019,,67362.00
159,7/27/2016,,,102938.00
160,7/27/2016,,,145907.00
161,7/27/2016,,,111903.00
162,7/29/2016,,,70599.00
163,8/1/2016,,,22357.00
